timestamp,forklift_id,operator_id,speed_kmph,running_hours,idle_hours,battery_soc,voltage,current,harsh_brake,collision,is_idle,utilization_pct,total_hours,idle_pct,low_battery_flag,battery_stress_index,voltage_deviation,high_current_flag,safety_risk_score,shift_Evening,shift_Night,rolling_avg_soc,rolling_avg_current,failure_risk
2025-02-02,FL_001,OP_008,15.71,2.9,1.3,98.75,49.37,67.44,False,False,0,69.04761904761905,4.2,30.95238095238095,0,0.5624499599679743,1.4199999999999946,0,0,False,False,98.75,67.44,0
2025-02-04,FL_001,OP_008,14.71,2.8,2.55,43.37,48.52,114.66,True,True,False,52.336448598130836,5.35,47.663551401869164,0,43.32263010408327,0.5700000000000003,0,7,False,False,71.06,91.05,1
2025-02-11,FL_001,OP_003,8.23,1.08,0.5,62.9,49.07,12.9,True,False,False,68.35443037974683,1.58,31.64556962025317,0,3.193154523618895,1.1199999999999974,0,2,True,False,68.33999999999999,65.0,0
2025-02-12,FL_001,OP_002,12.14,3.51,1.03,94.09,44.2,90.72,False,True,False,77.31277533039646,4.54,22.687224669603538,0,3.5772297838270597,3.75,0,5,True,False,74.7775,71.43,1
2025-02-15,FL_001,OP_004,10.76,0.43,3.45,86.13,44.56,120.16,True,True,False,11.082474226804123,3.8800000000000003,88.91752577319588,0,11.119690419001872,3.3900000000000006,0,7,False,False,77.048,81.176,1
2025-02-28,FL_001,OP_006,10.37,0.32,1.6,68.71,50.35,51.14,False,False,False,16.666666666666664,1.9200000000000002,83.33333333333334,0,10.676345076060851,2.3999999999999986,0,0,True,False,71.03999999999999,77.916,0
2025-03-16,FL_001,OP_007,3.71,2.45,3.8,60.53,47.15,143.57,False,True,False,39.2,6.25,60.8,0,37.80829930611156,0.8000000000000043,1,5,True,False,74.47200000000001,83.698,1
2025-03-18,FL_001,OP_005,1.76,5.61,1.59,83.58,44.28,22.74,True,True,False,77.91666666666667,7.2,22.08333333333333,0,2.491265012009608,3.6700000000000017,0,7,False,False,78.608,85.666,1
2025-03-24,FL_001,OP_007,7.29,6.93,0.96,44.77,50.2,57.27,0,0,False,87.83269961977186,7.89,12.167300380228141,0,21.103696957566054,2.25,0,0,False,True,68.744,78.976,0
2025-03-30,FL_001,OP_004,4.04,4.35,1.27,85.71,50.93,112.95,False,False,False,77.40213523131672,5.619999999999999,22.59786476868328,0,10.768985188150525,2.979999999999997,0,0,True,False,68.66,77.53399999999999,0
2025-04-07,FL_001,OP_005,0.82,2.75,3.09,65.87,47.01,96.2,True,False,0,47.08904109589041,5.84,52.91095890410959,0,21.906231651988257,0.9400000000000048,0,2,False,True,68.09200000000001,86.546,0
2025-04-20,FL_001,OP_005,14.09,6.39,1.39,54.18,44.97,10.88,True,True,False,82.13367609254499,7.779999999999999,17.866323907455012,0,3.3261382439284763,2.980000000000004,0,7,True,False,66.822,60.008,1
2025-04-24,FL_001,OP_003,2.25,1.99,3.52,85.14,47.39,84.8,True,False,False,36.116152450090745,5.51,63.883847549909255,0,8.407579396850814,0.5600000000000023,0,2,True,False,67.13399999999999,72.42,0
2025-04-30,FL_001,OP_005,13.67,4.34,0.96,52.53,44.24,43.18,False,False,False,81.88679245283019,5.3,18.113207547169807,0,13.675971443821725,3.710000000000001,0,0,True,False,68.686,69.602,0
2025-05-01,FL_001,OP_005,10.81,4.75,0.8,31.86,45.94,125.38,False,True,False,85.58558558558559,5.55,14.41441441441441,0,57.00155591139578,2.010000000000005,0,5,False,True,57.91600000000001,72.088,1
2025-05-06,FL_001,OP_003,6.05,5.5,2.39,38.1,48.91,110.48,True,False,False,69.7084917617237,7.890000000000001,30.291508238276293,0,45.62791566586603,0.9599999999999937,0,2,True,False,52.362,74.944,1
2025-05-07,FL_001,OP_003,9.81,3.23,2.05,85.72,45.68,50.26,False,False,False,61.17424242424243,5.279999999999999,38.82575757575757,0,4.7885828662930345,2.270000000000003,0,0,False,True,58.67,82.82000000000001,0
2025-05-09,FL_001,OP_002,11.61,2.33,1.81,62.83,44.88,77.2,True,False,False,56.28019323671497,4.140000000000001,43.71980676328503,0,19.14547638110489,3.0700000000000003,0,2,True,False,54.208000000000006,81.3,0
2025-05-17,FL_001,OP_005,16.23,2.55,0.3,86.16,50.88,122.68,True,True,False,89.47368421052632,2.8499999999999996,10.526315789473685,0,11.328337336535899,2.9299999999999997,0,7,False,True,60.934000000000005,97.2,1
